,Fecha,Institución Financiera,Tipo,Subtipo,Valor,Tipo de moneda
60,1-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
61,2-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
62,3-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
63,4-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
64,5-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
65,6-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
66,7-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
67,8-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
68,9-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
69,10-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
70,11-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
71,12-2013,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
72,1-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
73,2-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
74,3-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
75,4-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
76,5-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
77,6-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
78,7-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
79,8-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
80,9-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
81,10-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
82,11-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
83,12-2014,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
84,1-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
85,2-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
86,3-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
87,4-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
88,5-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
89,6-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
90,7-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
91,8-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
92,9-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
93,10-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,1.0,Dolar
94,11-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,1.0,Dolar
95,12-2015,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
96,1-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
97,2-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
98,3-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
